number,name,earnings in USD,Number of major tournaments won,Number of second place placing,number of third place placings,number of regional tournaments won
264,Maxlore,"$58,913",1,1,1,0
265,Archie,"$58,371",4,2,1,0
266,Crazy,"$58,301",2,0,0,0
267,nRated,"$58,093",4,3,2,2
268,Xerxe,"$58,027",1,3,3,1
269,Chasy,"$57,906",3,0,0,0
270,Hope,"$57,741",0,1,0,0
271,iBo,"$57,553",9,7,1,0
272,Likkrit,"$57,455",2,3,0,0
273,Jiizuke,"$56,764",1,0,2,0
274,G4,"$56,678",8,3,2,0
275,BOSS,"$56,039",7,1,0,0
276,Ley,"$55,724",1,1,2,1
277,Lloyd,"$55,178",8,3,2,0
278,brTT,"$54,561",7,7,4,1
279,BrokenBlade,"$54,035",2,5,0,2
280,AnDa,"$54,025",5,1,0,0
281,Fudge,"$53,725",4,2,0,1
282,Kid,"$53,699",1,3,2,0
283,Armao,"$53,600",2,2,1,0
284,Shernfire,"$53,536",5,1,1,1
285,Attila,"$53,451",4,0,1,0
286,Chawy,"$53,326",0,3,2,0
287,Cola,"$53,183",0,1,0,0
288,Nomanz,"$52,949",7,1,0,0
289,Treatz,"$52,859",1,4,3,0
