number,Team Name,Earnings in USD,Number of Major Tournaments Won,Number of Second Place Placings,Number of Bronze Place Placings,Number of Regional Tournaments Won
130,Nongshim RedForce,"$53,105",1,2,0,0
131,FunPlus Phoenix Blaze,"$52,939",0,1,2,0
132,Azubu Blaze,"$52,799",2,1,0,0
133,against All authority,"$48,855",3,4,0,0
134,Suppup eSports,"$46,939",3,0,0,0
135,Legacy Esports,"$45,190",3,1,4,1
136,Dragon Army,"$45,179",0,1,0,0
137,PDW,"$44,486",2,3,3,0
138,Maryville University,"$44,150",2,1,3,0
139,Rebirth eSports,"$43,805",1,4,1,0
140,Solary,"$41,004",2,2,0,0
141,Team ROCCAT,"$40,752",0,0,2,0
142,LowLandLions,"$40,472",7,1,2,0
143,Chiefs Esports Club,"$39,258",2,4,4,1
144,Team Singularity,"$39,132",7,1,2,0
145,Crvena zvezda Esports,"$38,645",1,4,0,0
146,ASUS ROG ELITE,"$37,868",1,2,0,0
147,Excel Esports,"$37,718",5,3,0,0
148,Elements Pro Gaming,"$37,622",0,1,0,0
149,KlikTech,"$37,615",2,0,1,0
150,Shu Dai Xiong Gaming,"$36,973",0,1,1,0
151,SeolHaeOne Prince,"$35,637",0,0,2,0
152,Sector One,"$35,277",6,5,2,0
153,Echo Fox,"$35,000",0,1,2,0
154,Vaevictis eSports,"$34,885",0,2,0,0
155,TSM Academy,"$33,500",1,1,0,0
156,We Love Gaming,"$33,068",4,1,2,0
157,Pentanet.GG,"$32,500",1,0,0,0
158,For The Win Esports,"$32,362",4,3,1,0
159,ROG Esport,"$32,252",2,0,1,0
160,Team Atlantis,"$31,990",2,0,0,0
161,SPGeSports,"$31,594",1,2,0,0
162,Resurgence,"$31,518",0,1,0,0
163,Team Echo Zulu,"$31,135",3,6,1,0
164,Rogue Esports Club,"$31,072",1,1,0,0
165,Furious Gaming,"$30,716",0,2,1,0
166,Royal Youth,"$29,688",2,2,0,1
167,Giants Gaming,"$29,574",1,0,0,0
168,devils.one,"$29,494",1,1,1,0
169,CERBERUS Esports,"$29,356",0,1,0,0
170,Bilibili Gaming Junior,"$29,308",0,1,0,0
171,Riddle Esports,"$29,130",0,4,0,0
172,Victory Five,"$29,027",0,0,0,0
173,FURIA Esports,"$28,573",1,0,1,0
174,Unicorns of Love Sexy Edition,"$28,379",0,1,0,0
175,Tricked Esport,"$28,277",1,0,1,0
176,LNG Esports,"$28,021",0,0,0,0
177,Barrage Esports,"$26,955",1,0,0,0
178,T1 Challengers,"$26,759",1,0,0,0
179,Dark Passage,"$26,500",1,0,0,0
180,Evil Geniuses Academy,"$26,000",0,2,0,0
181,Team AURORA,"$25,668",1,0,0,1
182,Lunary,"$25,604",2,1,2,0
183,Movistar Riders,"$25,557",1,2,1,0
184,Lowkey Esports,"$25,463",0,1,0,0
185,CrowCrowd,"$25,003",0,1,0,0
186,100 Thieves Academy,"$25,000",1,0,3,0
