PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize,Game,Genre
3842,Ji Hoon,Lee,Easyhoon,kr,249497.86,League of Legends,Multiplayer Online Battle Arena
24979,Ye Chan,Lee,Scout,kr,242290.45,League of Legends,Multiplayer Online Battle Arena
4632,Yi Tang,Huang,Maple,tw,240437.63,League of Legends,Multiplayer Online Battle Arena
8931,Dong Ha,Kim,Khan,kr,232418.28,League of Legends,Multiplayer Online Battle Arena
3634,Kyung Sup,Yoon,Zero,kr,229438.65,League of Legends,Multiplayer Online Battle Arena
3371,June Tsan,Wang,Stanley,tw,225522.01,League of Legends,Multiplayer Online Battle Arena
3373,Kurtis Wai Kin,Lau,Toyz,hk,224722.01,League of Legends,Multiplayer Online Battle Arena
11933,Mihael,Mehle,Mikyx,si,220292.5,League of Legends,Multiplayer Online Battle Arena
6474,Gyeong Hwan,Jang,MaRin,kr,219660.3,League of Legends,Multiplayer Online Battle Arena
3372,Kuan Po,Sung,Lilballz,tw,217429.72,League of Legends,Multiplayer Online Battle Arena
3375,Hui Chung,Chen,MiSTakE,tw,216539.83,League of Legends,Multiplayer Online Battle Arena
6058,Han Wei,Su,xiye,cn,206587.79,League of Legends,Multiplayer Online Battle Arena
13185,Yu Hao,Chen,Mouse,cn,198089.09,League of Legends,Multiplayer Online Battle Arena
3384,Zhihao,Liu,Zzitai,cn,191889.12,League of Legends,Multiplayer Online Battle Arena
6472,Sung Joon,Jin,Mystic,kr,189265.81,League of Legends,Multiplayer Online Battle Arena
3178,Dong Bin,Go,Score,kr,185512.99,League of Legends,Multiplayer Online Battle Arena
3177,Sang Ook,Yoo,Ryu,kr,184100.69,League of Legends,Multiplayer Online Battle Arena
1861,Bora,Kim,YellOwStaR,fr,183976.33,League of Legends,Multiplayer Online Battle Arena
27718,Bo Seong,Gwak,Bdd,kr,182877.42,League of Legends,Multiplayer Online Battle Arena
2989,Jason,Tran,WildTurtle,ca,182066.13,League of Legends,Multiplayer Online Battle Arena
37699,Ding,Zhuo,Knight,cn,180858.29,League of Legends,Multiplayer Online Battle Arena
20017,Gang Yun,Kim,Trick,kr,177780.23,League of Legends,Multiplayer Online Battle Arena
29501,Yu Hung,Lu,Betty,tw,177478.08,League of Legends,Multiplayer Online Battle Arena
59916,Su,Heo,ShowMaker,kr,177331.43,League of Legends,Multiplayer Online Battle Arena
37918,Ha Gwon,Jang,Nuguri,kr,176983.88,League of Legends,Multiplayer Online Battle Arena
59915,Geon Bu,Kim,Canyon,kr,174361.72,League of Legends,Multiplayer Online Battle Arena
56731,Jia Hao,Bai,369,cn,173098.69,League of Legends,Multiplayer Online Battle Arena
41209,Geon Hee,Cho,BeryL,kr,170911.34,League of Legends,Multiplayer Online Battle Arena
21629,Dong Wook,Lee,LokeN,kr,170679.58,League of Legends,Multiplayer Online Battle Arena
1892,Enrique,Cedeño Martinez,xPeke,es,166127.4,League of Legends,Multiplayer Online Battle Arena
8936,Dae Han,Gi,Expect,kr,165169.85,League of Legends,Multiplayer Online Battle Arena
3387,Zhuojun,Feng,Fzzf,cn,164821.18,League of Legends,Multiplayer Online Battle Arena
17103,Ren Jie,Xiang,Condi,cn,161938.75,League of Legends,Multiplayer Online Battle Arena
6633,Petter,Freyschuss,Hjärnan,se,160818.8,League of Legends,Multiplayer Online Battle Arena
13186,Chang Yu,Ke,957,cn,159402.36,League of Legends,Multiplayer Online Battle Arena
